movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Boyhood,5/6/2014,Drama,165,Richard Linklater,"producer,director,writer",1960,alive,7.9,357162,7.299915441,4000000,25379975,57273049
Exodus,15-12-1960,"Action,Drama,War",208,Otto Preminger,"director,producer,actor",1905,1986,6.7,10223,4.41930952,4000000,21750000,21750000
Father Stu,13-04-2022,"Biography,Drama",124,Rosalind Ross,"writer,director,actress",\N,alive,6.5,21983,4.64960779,4000000,21096678,21806425
The Kids Are All Right,9/7/2010,"Comedy,Drama,Romance",106,Lisa Cholodenko,"director,producer,writer",1964,alive,7,131584,5.938985206,4000000,20811365,36275469
Life of Brian,17-08-1979,Comedy,94,Terry Jones,"writer,actor,producer",1942,2020,8,403649,7.466007125,4000000,20182359,20522496
A Haunted House 2,18-04-2014,"Comedy,Fantasy,Horror",86,Michael Tiddes,"director,producer,miscellaneous",\N,alive,4.6,22201,3.255296819,4000000,17329487,21206861
Late Night,7/6/2019,"Comedy,Drama",102,Nisha Ganatra,"director,producer,writer",\N,alive,6.5,38708,4.920183863,4000000,15500045,22373378
The Last Exorcism Part II,1/3/2013,"Horror,Thriller",88,Ed Gass-Donnelly,"director,editor,writer",1977,alive,4,16542,2.726904419,4000000,15179303,25448707
The Front Page,17-12-1974,"Comedy,Drama,Romance",105,Billy Wilder,"writer,director,producer",1906,2002,7.3,14075,4.998616724,4000000,15000000,15000000
Trapeze,30-05-1956,"Drama,Romance",105,Carol Reed,"director,producer,assistant_director",1906,1976,6.8,4868,4.116028006,4000000,14400000,14400000
The Return of the Living Dead,16-08-1985,"Comedy,Horror,Sci-Fi",91,Dan O'Bannon,"writer,miscellaneous,actor",1946,2009,7.3,63246,5.805677527,4000000,14237880,14238634
They Live,4/11/1988,"Action,Horror,Sci-Fi",94,John Carpenter,"soundtrack,writer,composer",1948,alive,7.2,133207,6.118931064,4000000,13000000,13001044
